Code,,ParentCode,MainGroup,SubGroup
415.046,Electronic units,41,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
416,NAVIGATION TV,41,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
416.001,Navigation TV plants,41,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
416.002,TV cameras,41,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
416.004,Monitors,41,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
416.006,Electronic units,41,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
416.020,Periscope,41,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
417,"CLOCKS, FACSIMILE RECORDERS, MISC. NAUTICAL EQUIPMENT",41,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
417.001,Master clock systems,41,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
417.002,Master clocks,41,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
417.003,Satellite clocks,41,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
417.010,Chronometers,41,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
417.011,Radio clocks,41,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
417.012,Binoculars,41,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
417.013,Night binoculars,41,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
417.014,Sextants,41,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
417.015,Antenna,41,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
417.016,Pelorus,41,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
417.018,Facsimile recorders w/antenna,41,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
417.020,Azimuth apparatus,41,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
417.022,Course pointers,41,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
417.024,Planimeters,41,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
417.026,Integrators,41,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
417.030,Electronic windgauges,41,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
417.031,Mechanical windgauges,41,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
417.032,Wind indicators,41,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
417.035,Barometers,41,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
417.037,Thermometers,41,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
417.038,Hygrometers,41,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
417.050,Misc. nautical equipment,41,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
417.053,Parallel rulers,41,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
417.055,Roll rulers,41,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
417.057,Protractors,41,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
417.059,Dividers,41,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
417.061,Chart lenses,41,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
418,"RADAR, SIGNAL, OBSERVATION & ANTENNA MASTS",41,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
418.001,Radar masts,41,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
418.003,Signal masts,41,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
418.005,Observation masts,41,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
418.006,Crows nests,41,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
418.007,Masthead light masts,41,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
418.008,After light masts,41,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
418.010,Anchor light masts,41,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
418.012,Towing light masts,41,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
418.013,Antenna masts,41,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
418.014,Mast stays,41,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
419,INTEGRATED NAVIGATION SYSTEMS,41,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
419.001,Central bridge consoles,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
421,"RADIO PLANT, GMDSS",42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
421.001,Main radio telegraph sets,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
421.002,Main telegraph transmitter/receiver,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
421.004,Main telegraph transmitter,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
421.006,Spare radio telegraph sets,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
421.007,Spare telegraph transmitter/receiver,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
421.009,Main receiver antenna,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
421.010,Spare transmitter/receiver antenna,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
421.011,Control panels,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
421.015,Radio telephone sets,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
421.017,Radio telephone antenna,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
421.020,Control panels,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
421.025,Autoalarm apparatus,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
421.026,Alarm executants,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
421.027,Automatic keying devices,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
421.028,Watch receiver,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
421.035,Main transmitter/receiver antenna,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
421.041,Autoalarm antenna,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
421.045,Power converters,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
421.047,Power transformers,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
421.049,Batteries,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
421.050,Battery boxes,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
421.051,Loudspeakers,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
421.053,Taperecorders,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
421.055,Tools,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
421.060,MF/HF selective calling receiver w/antenna,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
421.063,Cryptography units,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
422,"LIFEBOAT RADIO TRANSMITTERS, EPIRBS",42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
422.001,Portable lifeboat radio equipment,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
422.002,Lifeboat radio sets,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
422.003,Lifeboat radio antenna,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
422.005,VHF emergency position indicating radio beacons,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
422.006,VHF float-free emergency position indicating radio beacons,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
422.007,VHF emergency communication sets,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
422.020,Radar transponders,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
423,"DATA TRANSMISSION PLANTS, COMMUNICATION",42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
423.001,Telex systems,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
423.002,Printers,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
423.004,Antenna,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
423.005,Telefax systems,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
423.010,Central EDP plants,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
423.011,Central processing units,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
423.013,Interface input equipment,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
423.015,Interface output equipment,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
423.017,Peripheral equipment,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
423.019,Secondary storages,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
423.020,Network (LAN),42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
423.022,Modems,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
423.024,EDP voyage recorders,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
423.029,Power converters,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
423.033,Power transformers,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
424,VHF/UHF TELEPHONES,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
424.001,VHF radio simplex systems w/antenna,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
424.002,Control units,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
424.003,VHF radio duplex systems w/antenna,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
424.004,Control units,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
424.016,VHF selective calling receiver w/antenna,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
424.020,VHF/AM aviation frequency radio sets w/antenna,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
424.021,Control units,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
424.030,Power converters,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
424.033,Rectifiers,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
424.035,Power transformers,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
424.037,Lake transceivers,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
424.052,Portable VHF/AM aviation frequency radio sets,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
424.054,Portable UHF radio sets,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
424.055,Mobile telephone sets,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
424.056,Mobile telephone w/coin apparatus,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
424.058,SHF transceivers,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
424.060,Satellite communication systems w/antenna,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
424.062,Telephone responders,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
424.064,Tape recorders,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
424.066,Walkie-Talkies (citizen band),42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
424.070,Cryptography units,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
425,"CALLING/COMMAND/CREW CALL TELEPHONE PLANTS, WALKIE-TALKIES",42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
425.001,Calling systems,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
425.002,Calling centrals,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
425.004,Signal executants,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
425.006,Command systems,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
425.008,Command centrals,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
425.012,Stationary apparatus,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
425.013,Loudspeakers,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
425.014,Portable apparatus,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
425.015,Microphones,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
425.018,Signal executants,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
425.020,Crew call systems,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
425.021,Crew call centrals,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
425.023,Signal executants,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
425.030,Telephone plant interface units,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
425.031,Telephone centrals,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
425.032,Tele-amplified telephone systems,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
425.033,Telephone apparatus,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
425.034,Engine room rotating lights,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
425.035,Telephone headsets,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
425.036,Shore telephone transfer,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
425.037,Radiostation/VHF transfer,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
425.038,Telephone boxes,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
425.040,Sound powered telephone system centrals,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
425.042,Sound powered telephone systems,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
425.045,Intercommunication system centrals,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
425.047,Intercommunication apparatus,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
425.050,Intrinsically safe telephones,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
425.055,Loudspeaker systems,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
425.057,Loudspeakers,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
425.071,Public address systems,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
425.072,Control panels,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
425.073,Interface units,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
425.074,Public address apparatus,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
425.075,Public address loudspeakers,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
425.076,Public address microphones,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
425.079,Walkie-Talkies,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
426,"SPEAKING TUBES, TUBE POST PLANTS",42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
426.001,Speaking tubes,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
426.005,Tube post systems,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
426.006,Vacuum ejectors,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
426.008,Air compressors,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
426.010,Pressure tanks,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
426.012,Dispatch boxes,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
427,"LIGHT & SIGNAL EQUIPMENT, LANTERNS, TYPHONS",42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
427.001,El. typhons,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
427.005,Typhons w/air preheater,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
427.006,Typhon control panels,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
427.008,Water separating tanks,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
427.010,Megaphones,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
427.012,Ship's bell,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
427.015,Gong,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
427.020,National flags,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
427.025,Signal flags,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
427.030,Flag staffs,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
427.032,Jack staffs,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
427.034,Wind socks,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
427.036,Anchor balls,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
427.040,Lanterns w/control unit,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
427.041,Lantern battery chargers,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
427.042,Lantern inverters,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
427.043,Signal lights,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
427.044,Signal light control units,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
427.045,Morse lamps,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
427.047,Nife lamps,42,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
427.050,Search lights,42,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
427.051,Search light control units,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
431,ANCHORS W/CHAINS & EQUIPMENT,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
431.001,Bow anchors w/chain,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
431.003,Stern anchors w/chain,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
431.005,Spare anchors,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
431.007,Sea anchors,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
431.009,Warping anchors,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
431.015,Spare anchor davits,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
431.020,Anchor washdown systems,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
432,"WINDLASSES W/CHAIN STOPPERS, ROLLERS",43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
432.001,"Windlasses, complete",43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
432.004,Chain messengers,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
432.007,Anchor winches,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
432.010,Mechanical brakes,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
432.013,Hydr. brakes,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
432.016,Windlass operating panels,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
432.020,Chain stoppers/rollers,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
432.021,Chain scissors,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
432.025,Chain gauges,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
432.045,Windlass hydr. systems,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
432.047,Hydr. oil pumps w/drive unit,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
432.049,Hydr. oil preheaters,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
432.051,Hydr. oil coolers,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
432.053,Hydr. oil filters,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
432.055,Hydr. oil expansion tanks,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
432.057,Hydr. oil storage tanks,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
433,"COMB. WINDLASS/MOORING WINCHES W/CHAIN STOPPERS, ROLLERS",43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
433.001,Combined windlass/mooring winch,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
433.005,Chain messengers,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
433.009,Mooring drums,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
433.013,Warping leads,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
433.017,Winches,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
433.021,Mechanical brakes,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
433.025,Self tension equipment,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
433.029,Hydraulic brakes,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
433.033,Operating panels,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
433.039,Chain stoppers/rollers,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
433.042,Chain gauges,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
433.045,Windlass hydr. systems,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
433.047,Hydr. oil pumps w/drive unit,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
433.049,Hydr. oil preheaters,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
433.051,Hydr. oil coolers,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
433.053,Hydr. oil filters,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
433.055,Hydr. oil expansion tanks,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
433.057,Hydr. oil storage tanks,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
434,"CAPSTANS, WARPING & MOORING WINCHES",43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
434.001,Mooring/warping winches,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
434.003,Capstans,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
434.006,Mooring drums,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
434.011,Warping heads,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
434.013,Hawser reels,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
434.016,Winches,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
434.021,Mechanical brakes,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
434.026,Self tension equipment,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
434.031,Operating panels,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
434.045,Winch hydr. systems,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
434.047,Hydr. oil pumps w/drive unit,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
434.049,Hydr. oil preheaters,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
434.051,Hydr. oil coolers,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
434.053,Hydr. oil filters,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
434.055,Hydr. oil expansion tanks,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
434.057,Hydr. oil storage tanks,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
435,FIXED MOORING EQUIPMENT,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
435.001,Bollards,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
435.005,Hawse pipes,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
435.010,Mooring cups,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
435.015,Rollers,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
435.020,Lake hawse pipes,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
435.025,Panama chocks,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
435.030,Fairleads,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
435.035,Rotor bollards,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
436,LOOSE MOORING EQUIPMENT,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
436.001,Hawser drums,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
436.003,Hawsers,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
436.005,Hawser bins,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
436.010,Fenders,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
436.015,Heaving lines,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
436.018,Rat guards,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
436.020,Mooring wire drums,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
436.025,Mooring wire,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
437,TOWING EQUIPMENT,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
437.001,Towing winches,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
437.002,Towing wire,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
437.003,Towing brackets,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
437.005,Towing rails,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
437.007,Towing hooks,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
437.008,Hydr. towing eyes,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
437.010,Spare wire drums,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
437.011,Hawser drums,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
437.013,"Loose towing equipment, wire",43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
437.016,Towing winch remote control,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
437.020,Anchor handling tongs,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
437.021,Towing pins,43,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
